Ancestry,SiteID,Lon.x,Lat.x,Date.x,SpeciesSymbol,SiteTotalFrames,Composition,ProtocolType,Lat.y,Lon.y,Date.y,JunipCover
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,ARIST,55,4.181818181818182,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,ASTER,55,3.090909090909091,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,BOCU,55,4.363636363636363,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,BOGR2,55,1.8181818181818181,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,CAHU,55,43.63636363636363,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,DAPU7,55,10.727272727272727,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,ELEL5,55,1.6363636363636365,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,GUDE,55,1.8181818181818181,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,HIBE,55,1.4545454545454546,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,SPAM2,55,11.272727272727273,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,SPCR,55,4.181818181818182,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,VEGO,55,4.363636363636363,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,VERBA,55,7.454545454545454,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,ARIST,97,10.618556701030927,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,BOCU,97,2.577319587628866,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,BOGR2,97,1.5463917525773196,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,BRTE,97,16.49484536082474,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,CIRSI,97,1.6494845360824741,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,ELEL5,97,3.195876288659794,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,ERCI,97,1.134020618556701,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,HYMEN12,97,1.0309278350515463,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,IPOMO,97,0.7216494845360825,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,PAOB,97,44.5360824742268,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,PPFF2,97,0.20618556701030927,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,SPCR,97,11.237113402061855,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,SPHAE,97,5.051546391752577,USFS R3 Tenth Acre,NA,NA,12/4/2025,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,ARIST,97,1.0309278350515463,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,BOCU,97,29.278350515463917,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,BOGR2,97,5.051546391752577,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,BOHI2,97,1.134020618556701,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,CAHU,97,0.20618556701030927,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,CIRSI,97,2.1649484536082473,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,ELEL5,97,5.154639175257732,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,ERAI3,97,1.443298969072165,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,EUPHO,97,0.10309278350515463,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,HIBE,97,51.03092783505155,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,MATA2,97,2.577319587628866,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,OXAR6,97,0.10309278350515463,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,PENST,97,0.20618556701030927,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,SPRU2,97,0.5154639175257731,USFS R3 Tenth Acre,34.589715342802,-112.52258254484705,12/4/2025,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,ARIST,14,7.142857142857143,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,BOCU,14,15.714285714285714,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,BOGR2,14,7.142857142857143,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,DAPU7,14,35.714285714285715,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,SPAM2,14,21.428571428571427,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,SPCR,14,12.857142857142858,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,ARIST,75,4.933333333333334,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,ASCLE,75,0.13333333333333333,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,BOCU,75,53.333333333333336,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,BOER4,75,12.4,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,BOGR2,75,21.333333333333332,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,ELEL5,75,3.6,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,EVOLV,75,0.13333333333333333,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,MENOD,75,1.3333333333333333,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,SPAM2,75,0.4,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,SPCR,75,2,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,TRMU,75,0.26666666666666666,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,-112.620564,34.709584,10/28/2025,UNK1,75,0.13333333333333333,USFS R3 Tenth Acre,34.709584,-112.620564,10/28/2025,15
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA3,-112.59977,34.71138,10/28/2025,ARIST,72,32.083333333333336,USFS R3 Tenth Acre,34.71138,-112.59977,10/28/2025,4
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA3,-112.59977,34.71138,10/28/2025,ASTRA,72,1.3888888888888888,USFS R3 Tenth Acre,34.71138,-112.59977,10/28/2025,4
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA3,-112.59977,34.71138,10/28/2025,BOCU,72,3.888888888888889,USFS R3 Tenth Acre,34.71138,-112.59977,10/28/2025,4
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA3,-112.59977,34.71138,10/28/2025,BOER4,72,1.6666666666666667,USFS R3 Tenth Acre,34.71138,-112.59977,10/28/2025,4
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA3,-112.59977,34.71138,10/28/2025,BOGR2,72,52.77777777777778,USFS R3 Tenth Acre,34.71138,-112.59977,10/28/2025,4
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA3,-112.59977,34.71138,10/28/2025,ELEL5,72,1.3888888888888888,USFS R3 Tenth Acre,34.71138,-112.59977,10/28/2025,4
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA3,-112.59977,34.71138,10/28/2025,SPAM2,72,1.9444444444444444,USFS R3 Tenth Acre,34.71138,-112.59977,10/28/2025,4
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA3,-112.59977,34.71138,10/28/2025,SPCR,72,4.861111111111111,USFS R3 Tenth Acre,34.71138,-112.59977,10/28/2025,4
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,AMBRO,97,0.10309278350515463,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,ARIST,97,35.154639175257735,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,BOER4,97,2.88659793814433,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,BOGR2,97,50.103092783505154,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,CHER2,97,0.20618556701030927,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,DAPU7,97,0.30927835051546393,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,ELEL5,97,1.134020618556701,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,EVOLV,97,0.30927835051546393,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,LYPH,97,5.876288659793815,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,MURI,97,0.9278350515463918,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,SPAM2,97,0.8247422680412371,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > South Unit Pasture,KA2,-112.620866,34.664127,10/27/2025,SPCR,97,2.1649484536082473,USFS R3 Tenth Acre,34.664127,-112.620866,10/27/2025,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > A-Y Pasture,C6,-112.375988805,34.277752555,11/12/2025,ARPU9,83,1.2048192771084338,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > A-Y Pasture,C6,-112.375988805,34.277752555,11/12/2025,BOCU,83,1.927710843373494,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > A-Y Pasture,C6,-112.375988805,34.277752555,11/12/2025,ERLE,83,96.86746987951807,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C01,-112.23086867623654,34.268042164332584,11/13/2025,ARIST,73,9.315068493150685,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C01,-112.23086867623654,34.268042164332584,11/13/2025,ARPU9,73,1.2328767123287672,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C01,-112.23086867623654,34.268042164332584,11/13/2025,ASCLE,73,0.958904109589041,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C01,-112.23086867623654,34.268042164332584,11/13/2025,BOCU,73,4.657534246575342,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C01,-112.23086867623654,34.268042164332584,11/13/2025,BOER4,73,5.068493150684931,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C01,-112.23086867623654,34.268042164332584,11/13/2025,BORO2,73,2.73972602739726,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C01,-112.23086867623654,34.268042164332584,11/13/2025,CHAR18,73,0.410958904109589,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C01,-112.23086867623654,34.268042164332584,11/13/2025,ERLE,73,53.83561643835616,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C01,-112.23086867623654,34.268042164332584,11/13/2025,SPAM2,73,10.273972602739725,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C01,-112.23086867623654,34.268042164332584,11/13/2025,SPCR,73,11.506849315068493,NA,NA,NA,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C02,-112.28336991114953,34.27056059124872,11/12/2025,ARIST,93,2.150537634408602,USFS R3 Tenth Acre,34.27056059124872,-112.28336991114953,11/12/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C02,-112.28336991114953,34.27056059124872,11/12/2025,BOCU,93,1.075268817204301,USFS R3 Tenth Acre,34.27056059124872,-112.28336991114953,11/12/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C02,-112.28336991114953,34.27056059124872,11/12/2025,BOER4,93,10.75268817204301,USFS R3 Tenth Acre,34.27056059124872,-112.28336991114953,11/12/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C02,-112.28336991114953,34.27056059124872,11/12/2025,BORO2,93,27.419354838709676,USFS R3 Tenth Acre,34.27056059124872,-112.28336991114953,11/12/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C02,-112.28336991114953,34.27056059124872,11/12/2025,ERLE,93,57.204301075268816,USFS R3 Tenth Acre,34.27056059124872,-112.28336991114953,11/12/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Peck Canyon Allotment > Crazy Basin Pasture,03-09-03-00319-008-C02,-112.28336991114953,34.27056059124872,11/12/2025,IPOMO,93,1.075268817204301,USFS R3 Tenth Acre,34.27056059124872,-112.28336991114953,11/12/2025,0.001
