ProtocolType,ProtocolName,EventType,EventName,FormName,Date,Ancestry,SiteID,SiteType,SiteStatus,Slope,Aspect,Elevation,SpeciesSymbol,FieldSymbol,SpeciesName,SpeciesName1,CommonName,SpeciesQualifier,FieldQualifier,Transect,SampleNumber,Element,SubElement,cParameter,cParameter2,cParameter3,cValue,cValueCommon,cValue2,cValue2Common,cValue3,cValue3Common,nValue,nValue2,nValue3,DDLat,DDLong
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,HOGL2,HOGL2,Hoffmannseggia glauca,Hoffmannseggia glauca,Indian rushpea,NA,NA,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,MUTO2,MUTO2,Muhlenbergia torreyi,Muhlenbergia torreyi,ring muhly,NA,NA,1,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOCU,BOCU,Bouteloua curtipendula,Bouteloua curtipendula,sideoats grama,NA,NA,1,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOCU,BOCU,Bouteloua curtipendula,Bouteloua curtipendula,sideoats grama,NA,NA,1,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOCU,BOCU,Bouteloua curtipendula,Bouteloua curtipendula,sideoats grama,NA,NA,1,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.669615,-112.68477
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Herbaceous - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Toohey Allotment > West Unit Pasture,KA3,Key Area,Active,NA,NA,5010,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.669615,-112.68477
